Phase ID,Lifecycle Stage,Process Action,Standard Operating Procedure (SOP),RACI Matrix Role,Tech Stack,Critical KPI
P11,Media Buying,Media Negotiations & Rate Card Acquisition,Execute sealed-bid RFP process with 8+ media partners; benchmark rates against industry standards (eMarketer benchmarks); negotiate 15% below standard CPM; secure preferential placement guarantees,Accountable: VP Media | Responsible: Media Buyer,MediaOcean | Simpli | Salesforce | Sourcing Ninja,Cost Per Thousand (CPM) Reduction (% Savings vs. Standard Rate)
P12,Media Buying,Media Plan Build & Audience Targeting Framework,Develop media plan (50+ pages) with reach/frequency analysis; build audience segments (minimum 10 micro-segments); implement advanced targeting (contextual + behavioral + lookalike + custom audiences); model attribution waterfall,Accountable: Director of Media Strategy | Responsible: Media Planner,Rocket Fuel | Marin Software | Adobe Advertising Cloud | BigQuery,Planned Reach (% of Target Audience)
P13,Media Buying,Ad Server Setup & Campaign Configuration,Configure campaign taxonomy (400+ line items); set up pixels, tags, and UTM parameters (Google Tag Manager); implement cross-device tracking; establish real-time bidding (RTB) guardrails; QA all tracking infrastructure,Accountable: Senior Media Operations Manager | Responsible: Ad Operations Specialist,Google Campaign Manager | DoubleClick | Marin | Skai,Campaign Configuration Accuracy (% of Tags Firing Correctly)
P14,Execution,Pre-Launch Readiness & Stakeholder Activation,Execute end-to-end go/no-go checklist (150+ items); conduct stakeholder communication blitz; deploy sales enablement materials to 500+ field teams; brief customer service on campaign narratives,Accountable: Senior Campaign Manager | Responsible: Communications Manager,Salesforce | Slack | HubSpot | Pendo,Launch Readiness Score (0-100 Composite)
P15,Execution,Campaign Launch & Channel Activation,Simultaneously activate across 6+ channels (paid search, social, display, video, email, partnerships); execute press releases and media briefings; activate influencer partnerships (50+ creators); monitor for technical issues in real-time,Accountable: Chief Marketing Officer | Responsible: Demand Generation Lead,Salesforce DMP | LiveRamp | Skai | Marin Software,Campaign Reach (Impressions in First 48 Hours)
P16,Execution,Lead Generation & Qualification Pipeline,Execute lead nurturing sequences (12+ email touchpoints); implement progressive profiling; qualify leads through BANT framework; transfer MQL→SQL with 40%+ conversion rate target,Accountable: VP of Sales Development | Responsible: SDR Manager,Marketo | HubSpot | Salesforce | Outreach,Marketing Qualified Lead (MQL) Volume & Conversion to SQL (%)
P17,Execution,Sales Enablement & Deal Acceleration,Equip sales team with battle cards (50+ competitor comparisons); deploy playbooks for 8+ buyer personas; implement sales content management system; track sales engagement metrics (call activity, demos scheduled),Accountable: VP Sales | Responsible: Sales Enablement Manager,Salesforce | Seismic | Highspot | Gong,Sales Pipeline Velocity (Days to Opportunity → Close)
P18,Execution,Real-Time Monitoring & Incident Management,Deploy 24/7 monitoring dashboard with 200+ KPIs; establish incident response protocols with <1 hour SLA; implement automated alerting (Slack/PagerDuty notifications); conduct daily standup reviews,Accountable: Director of Campaign Operations | Responsible: Analyst,Datadog | New Relic | Looker | Tableau,System Uptime (% Availability) & Alert Resolution Time
P19,Optimization,Performance Analysis & Anomaly Detection,Conduct daily performance audits against control benchmarks; deploy statistical significance testing (Chi-square tests); identify underperforming channels (>15% miss vs. target); generate automated anomaly reports,Accountable: Head of Analytics | Responsible: Data Analyst,Google Analytics 4 | Mixpanel | Amplitude | Python (Pandas/SciPy),Performance vs. Target Index (Cumulative % of Goal Achieved)
P20,Optimization,Budget Reallocation & Channel Mix Optimization,Execute real-time budget optimization using machine learning algorithms; shift 10-20% of spend to top-performing channels; implement dynamic creative optimization (DCO) with 50+ creative variants; update media plan weekly,Accountable: VP of Marketing | Responsible: Marketing Analytics Manager,Marin Software | Rocket Fuel | Adobe Advertising Cloud | Optmyzr,Optimized ROAS by Channel ($ Revenue per $1 Ad Spend)
P21,Optimization,A/B Testing & Multivariate Experiment Framework,Execute 15+ concurrent experiments (landing pages, email creative, audience segments, bid strategies); maintain 95% statistical power; analyze interaction effects; implement winning variants within 48 hours,Accountable: Director of Experimentation | Responsible: Growth Scientist,Optimizely | VWO | Google Optimize | Statsig,Win Rate of Experiments (% Statistically Significant at p<0.05)
P22,Optimization,Customer Experience Personalization & Journey Mapping,Implement 50+ personalization rules based on behavioral data; dynamically customize homepage/email/ad creative by segment; deploy chatbot AI (NLP-based) for 24/7 support; measure engagement lift vs. control,Accountable: VP of CX | Responsible: CX Manager,Segment | mParticle | Adobe Target | Intercom,Personalization Engagement Lift (% Increase vs. Control)
P23,Optimization,Retention & Loyalty Activation,Deploy post-conversion nurture sequences (8+ weeks); implement tiered loyalty program (3+ tiers); execute win-back campaigns for churn risk segments; measure Net Promoter Score (NPS) monthly,Accountable: Director of Customer Success | Responsible: Loyalty Program Manager,HubSpot | Klaviyo | Thinkalike | Zendesk,Customer Lifetime Value (CLV) & Retention Rate (%) by Cohort
P24,Governance,Campaign Performance Deep-Dive Analysis,Conduct multi-dimensional analysis across 15+ KPIs; perform cohort analysis by acquisition channel; document learnings in 40+ page performance report; calculate true ROI using closed-loop attribution,Accountable: Chief Marketing Officer | Responsible: Analytics Director,Tableau | Looker | Mode Analytics | BigQuery,Campaign ROI vs. Projection (Variance %)
P25,Governance,Post-Campaign Audit & Compliance Reconciliation,Execute full financial reconciliation (cost accountability); verify privacy/GDPR compliance; audit vendor invoices against contracted rates (SLA compliance); complete post-mortem documentation,Accountable: General Counsel | Responsible: Compliance Officer,Workiva | Anaplan | Hyperion | SharePoint,Audit Finding Resolution Rate (% Resolved within 30 Days)
P26,Governance,Revenue Attribution & Scaling Blueprint,Model incremental revenue impact (econometric analysis); extrapolate successful tactics into always-on programs; document replicable playbooks (50+ pages); present scaling roadmap to Board/C-Suite,Accountable: Chief Revenue Officer | Responsible: Senior Strategist,Marketo | Salesforce Einstein | Python | Jupyter Notebooks,Incremental Revenue Attributed ($ and % Lift vs. Baseline)
